Date;Open;High;Low;Close
22/04/23;27265,89502;27872,14317;27169,57112;27817,50092
23/04/23;27816,14479;27820,24449;27400,31374;27591,38463
24/04/23;27591,72952;27979,9819;27070,8495;27525,3395
25/04/23;27514,87239;28371,0777;27207,93256;28307,59809
26/04/23;28300,05927;29995,83849;27324,54901;28422,70088
27/04/23;28428,46428;29871,54635;28402,88739;29473,78618
28/04/23;29481,01354;29572,79169;28929,60854;2934,02625
29/04/23;29336,56704;29452,45524;29088,04234;29248,48837
30/04/23;29245,51551;29952,02855;29114,02124;29268,80704
01/05/23;29227,10398;29329,93622;27680,79264;28091,5688
02/05/23;2808,717497;28881,29838;27924,12367;28680,53697
03/05/23;2868,049441;29259,53329;28178,38925;29006,30767
04/05/23;29031,30445;29353,18466;28694,03902;28847,71159
05/05/23;28851,47966;29668,90768;28845,51053;2953,438402
06/05/23;2953,8859;29820,12662;28468,96741;28904,62395
07/05/23;28901,62282;29157,51819;28441,36804;28454,97829
08/05/23;28450,45748;28663,27233;27310,13561;27694,2729
09/05/23;27695,06807;27821,40061;27375,60069;2765,877467
10/05/23;27654,63678;28322,68833;26883,66988;27621,75623
11/05/23;27621,08687;27621,94199;26781,827;27000,78827
12/05/23;26987,66251;27055,64723;2587,842883;26804,99067
13/05/23;26807,76904;27030,48296;26710,8738;26784,07856
14/05/23;26788,97429;27150,97679;26661,3549;26930,63785
15/05/23;26931,38463;27646,34812;26766,09692;27192,69322
16/05/23;27171,51458;27299,30481;26878,94797;2703,665071
17/05/23;27035,47013;27465,9279;2660,014484;27398,80203
18/05/23;2740,165021;27466,52759;26415,10148;2683,22093
19/05/23;26826,75479;27128,61884;26700,21014;26890,12824
20/05/23;26888,84139;27155,15903;26843,27738;27129,58626
21/05/23;27118,42323;2726,591799;26706,92135;26753,82564
22/05/23;26749,89321;27045,73509;26549,73479;26851,27763
23/05/23;26855,96068;27434,68433;26816,17972;27225,72659
24/05/23;27224,6037;27224,6037;2610,657662;26334,81821
25/05/23;26329,46151;26591,51918;25890,59448;26476,20753
26/05/23;26474,18247;2691,666991;26343,94916;26719,29098
27/05/23;26720,18251;2688,888337;26621,14141;26868,35382
28/05/23;268,7115878;2819,344853;26802,75173;28085,64736
29/05/23;28075,59214;28432,03872;27563,87721;2774,588444
30/05/23;27745,1236;28044,7598;27588,50277;27702,34877
31/05/23;27700,53009;27831,6778;26866,45394;27219,65861
01/06/23;27218,41238;27346,10548;26671,72116;26819,97322
02/06/23;26824,55698;27303,86169;26574,64442;27249,58895
03/06/23;2725,232333;27317,05185;26958,00374;27075,1294
04/06/23;27075,12207;27407,01857;26968,22414;27119,06719
05/06/23;27123,10996;27129,98258;25445,16751;25760,097
06/06/23;25732,10886;27313,82068;25434,86713;27238,78373
07/06/23;27235,64952;27332,18096;26146,98887;26345,99885
08/06/23;26347,65345;26797,51279;26246,66376;26508,2159
09/06/23;26505,92401;26770,28912;26339,31522;26480,37509
10/06/23;26481,76254;26531,04516;25501,83624;25851,241
11/06/23;25854,03192;26203,43981;25668,98561;25940,16808
12/06/23;25934,2856;26087,91907;25675,19759;2590,249987
13/06/23;25902,94091;26376,35207;25728,36557;25918,7284
14/06/23;25920,25809;26041,80011;24902,1527;25124,67668
15/06/23;2512,167395;25735,30854;24797,16785;25576,39401
16/06/23;25575,2826;26463,17306;25245,35768;26327,46239
17/06/23;26328,67944;26769,3945;26174,49165;26510,67645
18/06/23;26510,45761;2667,592553;26325,89018;2633,6213
19/06/23;26335,44237;26984,61153;26312,83181;26851,02855
20/06/23;26841,66353;28388,96842;26668,7917;28327,48826
21/06/23;28311,31096;30737,32922;28283,41078;3002,729645
22/06/23;29995,93577;30495,99845;29679,1574;2991,228171
23/06/23;29896,38342;31389,53813;29845,21451;30695,46941
24/06/23;3070,873845;30804,14937;30290,14648;30548,69482
25/06/23;30545,15023;31041,27207;30327,94278;30480,26161
26/06/23;3048,052397;30636,02943;29955,74329;30271,13102
27/06/23;30274,32119;31006,78658;30236,65129;3068,816385
28/06/23;30696,56149;30703,27998;29921,82283;30086,24619
29/06/23;30086,18672;30796,25024;30057,20302;30445,35123
30/06/23;30441,35376;31256,8627;29600,27594;30477,25128
01/07/23;30471,84756;30641,28932;30328,86475;30590,07907
02/07/23;30587,26996;30766,13975;3026,401871;30620,77026
03/07/23;30624,51631;31375,61325;30586,51343;31156,43949
04/07/23;31156,86492;31325,19817;30659,35589;30777,58151
05/07/23;30778,72536;30877,32925;3022,56127;305,1416639
06/07/23;30507,15111;3146,005361;29892,22603;29909,33776
07/07/23;29907,9989;30434,64369;29777,28441;30342,26475
08/07/23;30346,92165;3037,443653;30080,15961;3029,254117
09/07/23;30291,61053;30427,59066;30085,59219;30171,23357
10/07/23;30172,42296;31026,0838;29985,3947;30414,47152
11/07/23;30417,63362;30788,31462;30358,09774;30620,95094
12/07/23;30622,24695;30959,96556;30228,83522;30391,64614
13/07/23;30387,4892;31814,51481;30268,35249;31476,04939
14/07/23;31474,72136;31582,25483;29966,38714;30334,06901
15/07/23;30331,78228;30407,78111;30263,46342;3029,580748
16/07/23;30297,47211;30437,56073;300,8967038;30249,13281
17/07/23;3024,962662;30,33640013;29685,78269;30145,88963
18/07/23;30147,07086;30233,65535;2955,642837;29856,56322
19/07/23;298,6204721;30184,18115;29794,26886;29913,9232
20/07/23;29915,25033;30195,53104;2963,809667;29792,01638
21/07/23;29805,11153;30045,99751;29733,851;2990,87439
22/07/23;29908,69699;29991,61596;29664,12095;29771,80283
23/07/23;29790,11165;30330,64039;29741,52731;30084,53924
24/07/23;30081,66164;30093,39425;28934,29416;29176,91548
25/07/23;29178,97004;2935,31611;29062,43429;2922,73908
26/07/23;29225,76012;29675,55262;29113,91132;29354,97288
27/07/23;29353,79883;29560,96626;29099,35225;29210,68928
28/07/23;29212,1643;29521,51433;29125,84559;29319,2454
29/07/23;29319,44604;29396,84375;29264,16627;29356,91854
30/07/23;29357,09364;2944,316949;29059,50263;2927,530795
31/07/23;29278,31405;29489,87287;29131,57903;2923,011088
01/08/23;29230,8724;29675,7325;28657,02382;29675,7325
02/08/23;29704,14684;29987,99711;289,4651038;29151,95969
03/08/23;29161,81195;29375,70703;28959,48821;2917,867878
04/08/23;29174,38184;29302,07822;2888,53354;29074,09173
05/08/23;29075,38896;29102,46565;28957,79762;29042,12615
06/08/23;29043,70198;29160,82154;28963,83469;29041,85617
07/08/23;29038,51285;29244,28086;28724,14053;29180,57892
08/08/23;29180,01886;30176,79624;29113,81446;29765,49267
09/08/23;2976,66956;30093,43519;29376,80055;29561,49451
10/08/23;29563,97184;29688,56482;29354,44644;29429,59249
11/08/23;2942,490257;29517,77367;29253,51799;29397,7155
12/08/23;29399,78665;29465,11378;29357,58798;29415,96452
13/08/23;29416,5936;29441,43339;29265,8076;29282,91438
14/08/23;2928,326294;29660,25434;29124,10555;29408,44255
15/08/23;2940,804859;29439,12042;29088,85328;29170,34721
16/08/23;29169,07402;29221,97574;28701,77952;28701,77952
17/08/23;28699,80284;28745,94653;25409,1116;26664,54999
18/08/23;26636,0784;26808,19578;25668,92282;26049,5569
19/08/23;26047,83298;26249,44838;25802,40789;26096,20455
20/08/23;26096,86123;26260,68094;26004,3153;26189,58467
21/08/23;26188,69065;26220,20168;25846,08797;2612,414125
22/08/23;26130,74802;26135,5082;2552,072849;26031,65648
23/08/23;2604,047365;26786,89761;25804,99819;26431,63998
24/08/23;26431,51989;26554,90982;25914,92556;26162,37249
25/08/23;26163,68005;26248,10343;25786,81246;26047,66885
26/08/23;26047,23524;26107,38429;25983,87827;2600,846266
27/08/23;26008,2418;26165,37244;25965,09754;26089,69347
28/08/23;26089,61492;26198,57906;25880,60025;26106,15004
29/08/23;26102,48583;28089,33803;25912,62891;27727,39301
30/08/23;27726,08403;27760,1594;27069,20742;27297,26535
31/08/23;27301,92932;27456,079;25752,92995;25931,47289
01/09/23;25934,02081;26125,86977;25362,60913;25800,72437
02/09/23;25800,90961;2597,028449;25753,09385;25868,79814
03/09/23;25869,47279;26087,14916;25817,0318;25969,56735
04/09/23;25968,17013;26081,52461;25657,02557;25812,41527
05/09/23;25814,95781;25858,37431;25589,98859;25779,98179
06/09/23;2578,393074;2595,301566;25404,35968;25753,23626
07/09/23;25748,31201;26409,30301;2560,82016;262,4019489
08/09/23;26245,20821;2641,400597;25677,47958;25905,65375
09/09/23;25905,42491;2592,197623;25810,49509;25895,67822
10/09/23;25895,20997;25978,13017;25640,26171;25832,22625
11/09/23;25831,7155;25883,947;24930,29749;25162,65527
12/09/23;25160,65793;26451,9385;25133,07891;25833,34306
13/09/23;25837,55496;26376,11347;25781,12373;26228,32409
14/09/23;26228,27786;26774,62336;26171,45185;26539,67444
15/09/23;26533,81884;26840,49793;26240,70063;26608,69336
16/09/23;26606,19865;26754,77018;26473,89078;26568,28129
17/09/23;26567,92758;2661,799763;26445,07513;265,3418752
18/09/23;26532,99479;2741,473426;26415,51585;26754,28104
19/09/23;26760,85101;27488,7638;26681,60577;27211,11782
20/09/23;27210,22849;27379,50607;26864,08232;27132,00734
21/09/23;27129,84002;27152,93858;26389,30029;26567,6329
22/09/23;26564,05617;26726,07803;26495,53241;26579,56864
